Sentences,Types,Classification,Type,Classifications,Classifications_name
If temp decreases after addition of sample B to endothermic reaction.,NON-INSTRUCTION,INSTRUCTION WITH REASON,0,0,
If temp increases after addition of sample A to exothermic reaction.,NON-INSTRUCTION,INSTRUCTION WITH REASON,0,0,
A Cartoon Ghost.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
A single  instantly recognisable feature from the car.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
A space saving cookbook holder.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
A Traditional Ghost.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Across the top and bottom string holes.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Active listening can also be accomplished over the telephone.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
All season tires are not designed for deep snow or ice.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
An alternative to sitting in a private area would be a walk and talk.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
An empty room is the best option if it is available.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Anxiety can also cause puppies to eat stones.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
"Applying Primer, Paint and Clear Coat.",NON-INSTRUCTION,NON INSTRUCTION,0,0,
Arranging Your Furniture.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Brief exercises for 5 to10 minutes.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Buffing and Polishing.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Building Your Base.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Can auto paint ?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Can automotive clear coat.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Childcare hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Classic Tin Foil Hat.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Clothing hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Color you love if you are allowed.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Cooking and food prep hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Cool hues make a cool peach.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Coping With Fear.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Creating a Mosaic on Your Flower Pot.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Creating the Hose Basket.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Decorating Your Flower Pot with Decoupage.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Deep for your rose bush.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Digging through Archives.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Downloading Movies Using Torrents.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Downloading New Subtitles.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Drawing and Painting Water.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Drawing Man Made Objects.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Drawing Nature.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Dressing for Your Run.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Dyeing Water with Synthetic Coloring.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Easing anxiety during the film.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Educating Yourself to Work with Animals.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Examining the House Construction.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Finished.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Food Service and Storage Hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
For any car painting job.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Forming Your Sculpture.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Gaining Experience for Working at a Zoo.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Getting Into Jogging.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Getting the Perfect Home Tan.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
"Graphite is similar to wd40, but not having the same harsh odor.",NON-INSTRUCTION,NON INSTRUCTION,0,0,
hi how are you!.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Housekeeping Hacks.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
How are you mate?.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
How to Mix Peach Paint.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
How to Stop a Puppy from Eating Stones.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
"However, an unoccupied corner is sufficient if no rooms are open.",NON-INSTRUCTION,NON INSTRUCTION,0,0,
I am a good boy.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
I am happy,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Identifying a Purpose for the Basket.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
If your vet recommends it.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Improving Your Form.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Installing the Camera Cables.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Installing torrent.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Keeping Your Pet Healthy.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Lakes often are surrounded by water plants with thin blades.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Learning Golfing Techniques.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Looking for Zookeeper Jobs.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Maintaining Your Practice.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making a bat File in Windows.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making a Shoe Box Guitar.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making a Simple Paper Plate Guitar.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making a Simple Tissue Box Guitar.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
Making Paper Projects.,NON-INSTRUCTION,NON INSTRUCTION,0,0,
